date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:20:54	120/120	---M-Z	200	added ('OK')	text/plain	etag:%222653-1680729650;gz%22	https://www.bandungbandarasoetta.id/robots.txt		(from )
04:20:54	94547/94547	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2021:20:50%20GMT	https://www.bandungbandarasoetta.id/	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/index.html	(from )
04:20:54	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2005%20Apr%202023%2021:20:51%20GMT	https://www.bandungbandarasoetta.id/xmlrpc.php	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/xmlrpc.php	(from https://www.bandungbandarasoetta.id/)
04:20:55	5448/5448	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Dec%202022%2010:22:12%20GMT	https://www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.countup.js?ver=3.16.0	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.countupab82.js	(from https://www.bandungbandarasoetta.id/)
04:20:55	10850/10850	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Dec%202022%2010:22:12%20GMT	https://www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.js?ver=3.16.0	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebarab82.js	(from https://www.bandungbandarasoetta.id/)
04:20:55	16876/16876	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Dec%202022%2010:22:12%20GMT	https://www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.tooltips.js?ver=3.16.0	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.tooltipsab82.js	(from https://www.bandungbandarasoetta.id/)
04:20:55	20237/20237	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Dec%202022%2010:22:12%20GMT	https://www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.js?ver=3.16.0	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.vendors-popupsab82.js	(from https://www.bandungbandarasoetta.id/)
04:20:55	49588/49588	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Dec%202022%2010:22:12%20GMT	https://www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.js?ver=3.16.0	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/js/chunk.vendors-sliderab82.js	(from https://www.bandungbandarasoetta.id/)
04:20:56	217/217	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2012:15:16%20GMT	https://www.bandungbandarasoetta.id/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-includes/css/classic-themes.min68b3.css	(from https://www.bandungbandarasoetta.id/)
04:20:56	21882/21882	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Dec%202022%2009:39:02%20GMT	https://www.bandungbandarasoetta.id/wp-content/plugins/chaty/css/chaty-front.min.css?ver=16061031593.0.4	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-content/plugins/chaty/css/chaty-front.min632a.css	(from https://www.bandungbandarasoetta.id/)
04:20:56	145314/145314	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Dec%202022%2010:22:12%20GMT	https://www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.16.0	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/css/flatsomeab82.css	(from https://www.bandungbandarasoetta.id/)
04:20:56	12752/12752	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2016%20Dec%202022%2010:22:12%20GMT	https://www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot?v=3.16.0	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/wp-content/themes/flatsome/assets/css/icons/fl-iconsd7b9.eot	(from https://www.bandungbandarasoetta.id/)
04:20:56	21863/21863	---MCZ	200	added ('OK')	application/rss+xml	etag:%222c94c8d81a37d4c367bc8241084ec31f%22	https://www.bandungbandarasoetta.id/feed/	C:/My%20Web%20Sites/tour%20web/www.bandungbandarasoetta.id/feed/index.html	(from https://www.bandungbandarasoetta.id/)
